administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,special_day,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,total_pages,total_duration,product_page_share,product_duration_share,avg_time_per_page,admin_to_product_ratio,info_to_product_ratio,exit_minus_bounce,bounce_x_exit,log1p_administrative_duration,log1p_informational_duration,log1p_product_related_duration,log1p_total_duration,log1p_total_pages,revenue
5,18.0,1,9.5,17,414.3333333,0.0,0.005263158,0.0,0.0,May,2,2,2,6,Returning_Visitor,0,23,441.8333333,0.7391304347504726,0.9377593360927671,19.210144925251733,0.2941176470415225,0.0588235294083045,0.005263158,0.0,2.9444389791664403,2.3513752571634776,6.029081410599032,6.093193476456485,3.1780538303479458,0
0,0.0,0,0.0,11,1055.5,0.018181818,0.042424242,0.0,0.0,May,2,2,8,18,Returning_Visitor,0,11,1055.5,0.9999999999090909,0.9999999999990526,95.95454544582232,0.0,0.0,0.024242424000000002,0.000771349846831956,0.0,0.0,6.962716837056111,6.962716837056111,2.4849066497880004,0
0,0.0,0,0.0,8,607.0,0.0375,0.0625,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,0,8,607.0,0.999999999875,0.9999999999983525,75.87499999051562,0.0,0.0,0.025,0.00234375,0.0,0.0,6.410174881966167,6.410174881966167,2.1972245773362196,0
6,200.3333333,0,0.0,9,154.0,0.0,0.030769231,0.0,0.0,May,1,1,1,1,Returning_Visitor,0,15,354.3333333,0.59999999996,0.43461900286186084,23.622222218425186,0.6666666665925925,0.0,0.030769231,0.0,5.304961909101142,0.0,5.043425116919247,5.873056315963871,2.772588722239781,0
2,55.0,1,36.0,24,914.5060606,0.015384615,0.016666667,0.0,0.4,May,3,2,8,3,Returning_Visitor,0,27,1005.5060606,0.8888888888559671,0.9094983078007421,37.24096520602811,0.0833333333298611,0.04166666666493055,0.0012820519999999988,0.000256410255128205,4.02535169073515,3.6109179126442243,6.819476984081731,6.914240266522224,3.332204510175204,0
0,0.0,0,0.0,5,151.2,0.0,0.053333333,0.0,0.8,May,7,1,3,1,Returning_Visitor,0,5,151.2,0.9999999998,0.9999999999933863,30.239999993951997,0.0,0.0,0.053333333,0.0,0.0,0.0,5.025195445427586,5.025195445427586,1.791759469228055,0
1,69.6,0,0.0,46,1292.449762,0.004347826,0.005555556,0.0,0.0,Aug,3,2,1,2,Returning_Visitor,1,47,1362.0497619999999,0.9787234042344953,0.9489005453818736,28.979782169596174,0.02173913043431002,0.0,0.0012077299999999997,2.4154590821256e-05,4.257030144499196,0.0,7.165068162062406,7.217479940201035,3.871201010907891,0
7,74.0,3,31.0,13,292.0,0.0,0.0125,0.0,0.0,May,1,1,3,5,New_Visitor,1,23,397.0,0.5652173912797731,0.7355163727941171,17.26086956446692,0.5384615384201183,0.2307692307514793,0.0125,0.0,4.31748811353631,3.4657359027997265,5.680172609017068,5.986452005284438,3.1780538303479458,0
1,54.5,0,0.0,26,531.5,0.007692308,0.023076923,44.92362122,0.0,Nov,2,2,3,2,Returning_Visitor,0,27,586.0,0.9629629629272977,0.906996587029169,21.703703702899862,0.038461538460059175,0.0,0.015384614999999999,0.000177514799408284,4.0163830207523885,0.0,6.277582897583581,6.375024819828097,3.332204510175204,0
0,0.0,0,0.0,22,1076.65,0.023809524,0.036507937,10.7869918,0.0,Aug,2,2,2,1,Returning_Visitor,0,22,1076.65,0.9999999999545455,0.9999999999990712,48.93863636141188,0.0,0.0,0.012698412999999999,0.0008692366021919879,0.0,0.0,6.982538023425823,6.982538023425823,3.1354942159291497,1
4,179.6071429,2,5.5,34,1045.102381,0.0,0.007603276,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,0,40,1230.2095239,0.8499999999787501,0.8495320192986114,30.755238096731123,0.11764705882006922,0.05882352941003461,0.007603276,0.0,5.196324191142074,1.8718021769015913,6.952826518420158,7.1157523179560895,3.713572066704308,0
6,96.85714286,0,0.0,28,672.5452381,0.0,0.020707071,19.71468924,0.0,Mar,1,1,2,10,Returning_Visitor,0,34,769.40238096,0.8235294117404846,0.8741137988941192,22.629481792275605,0.21428571427806123,0.0,0.020707071,0.0,4.583508689236109,0.0,6.5125551622658255,6.6469129510295035,3.5553480614894135,1
0,0.0,3,34.3,137,4045.726634,0.009993099,0.021710569,0.0,0.0,Nov,1,2,1,2,Returning_Visitor,0,140,4080.0266340000003,0.9785714285644388,0.9915931921338061,29.143047385506126,0.0,0.021897810218818266,0.011717469999999999,0.000216955865363331,0.0,3.563882963939251,8.305663594781214,8.314103861726093,4.948759890378168,0
0,0.0,0,0.0,10,447.1333333,0.0,0.018181818,17.29676376,0.0,Oct,2,2,5,2,New_Visitor,1,10,447.1333333,0.9999999999,0.9999999999977636,44.713333325528666,0.0,0.0,0.018181818,0.0,0.0,0.0,6.105090807108458,6.105090807108458,2.3978952727983707,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,2,2,7,11,Returning_Visitor,1,1,0.0,0.9999999989999999,0.0,0.0,0.0,0.0,0.0,0.04000000000000001,0.0,0.0,0.0,0.0,0.6931471805599453,0
2,81.0,0,0.0,18,631.0,0.01,0.029,0.0,0.0,May,2,2,1,1,Returning_Visitor,0,20,712.0,0.899999999955,0.886235955054935,35.59999999822,0.11111111110493826,0.0,0.019000000000000003,0.00029,4.406719247264253,0.0,6.448889394146858,6.569481420414296,3.044522437723423,0
8,108.7,0,0.0,85,2651.943186,0.000888889,0.01426455,0.898495409,0.0,Jul,2,2,9,4,Returning_Visitor,0,93,2760.643186,0.9139784946138282,0.9606251178883932,29.684335333014143,0.09411764705771626,0.0,0.013375661,1.267960158495e-05,4.697749367281185,0.0,7.8834249389065505,7.923581138802757,4.543294782270004,0
4,106.0,0,0.0,6,180.4166667,0.0,0.025,0.0,0.0,Nov,3,6,3,2,New_Visitor,0,10,286.4166667,0.59999999994,0.6299098051034266,28.641666667135834,0.6666666665555555,0.0,0.025,0.0,4.672828834461906,0.0,5.200796411630286,5.660932963264816,2.3978952727983707,0
0,0.0,0,0.0,21,360.0833333,0.0,0.00952381,0.0,0.0,May,1,1,6,15,Returning_Visitor,0,21,360.0833333,0.999999999952381,0.9999999999972229,17.14682539442158,0.0,0.0,0.00952381,0.0,0.0,0.0,5.889108771859594,5.889108771859594,3.091042453358316,0
0,0.0,0,0.0,13,277.0,0.0,0.015384615,0.0,0.0,Nov,4,1,1,8,Returning_Visitor,0,13,277.0,0.9999999999230769,0.9999999999963899,21.307692306053255,0.0,0.0,0.015384615,0.0,0.0,0.0,5.627621113690637,5.627621113690637,2.6390573296152584,0
0,0.0,0,0.0,53,1768.657051,0.0,0.003921569,0.0,0.0,Nov,2,4,3,2,Returning_Visitor,0,53,1768.657051,0.9999999999811321,0.9999999999994346,33.37088775408734,0.0,0.0,0.003921569,0.0,0.0,0.0,7.478541050297484,7.478541050297484,3.9889840465642745,0
0,0.0,0,0.0,8,185.0,0.025,0.033333333,0.0,0.0,Dec,3,2,3,10,Returning_Visitor,0,8,185.0,0.999999999875,0.9999999999945947,23.124999997109374,0.0,0.0,0.008333332999999998,0.000833333325,0.0,0.0,5.225746673713202,5.225746673713202,2.1972245773362196,0
3,37.0,0,0.0,62,1193.0,0.003076923,0.015384615,21.6018009,0.0,Nov,2,2,1,1,Returning_Visitor,0,65,1230.0,0.9538461538314792,0.9699186991862033,18.923076922785796,0.048387096773413116,0.0,0.012307692,4.7337275739645e-05,3.6375861597263857,0.0,7.085064293952548,7.115582126184454,4.189654742026425,1
4,82.5,0,0.0,16,299.5,0.0,0.005555556,0.0,0.0,Dec,1,1,4,2,Returning_Visitor,1,20,382.0,0.79999999996,0.784031413610513,19.099999999045,0.249999999984375,0.0,0.005555556,0.0,4.42484663185681,0.0,5.705447753975262,5.948034989180646,3.044522437723423,0
0,0.0,0,0.0,15,1390.583333,0.025,0.05,39.48337116,0.0,Dec,2,2,2,1,Returning_Visitor,0,15,1390.583333,0.9999999999333333,0.9999999999992809,92.70555552715297,0.0,0.0,0.025,0.0012500000000000002,0.0,0.0,7.2381974663448965,7.2381974663448965,2.772588722239781,0
0,0.0,0,0.0,5,164.0,0.0,0.04,0.0,0.0,May,4,1,1,1,Returning_Visitor,0,5,164.0,0.9999999998,0.9999999999939025,32.79999999344,0.0,0.0,0.04,0.0,0.0,0.0,5.10594547390058,5.10594547390058,1.791759469228055,0
0,0.0,0,0.0,3,558.0,0.0,0.066666667,0.0,0.0,Mar,4,1,3,1,Returning_Visitor,0,3,558.0,0.9999999996666666,0.9999999999982079,185.999999938,0.0,0.0,0.066666667,0.0,0.0,0.0,6.326149473155099,6.326149473155099,1.3862943611198906,0
0,0.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,0,1,0.0,0.9999999989999999,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0
6,1013.886667,1,378.8,8,230.28,0.0,0.02254902,13.86451214,0.0,Sep,2,2,3,2,Returning_Visitor,1,15,1622.966667,0.5333333332977778,0.1418883114990421,108.19777779278681,0.74999999990625,0.124999999984375,0.02254902,0.0,6.922532227113576,5.939644798378185,5.443629097708091,7.392626995264672,2.772588722239781,0
1,159.2,0,0.0,21,526.5,0.0,0.009090909,0.0,0.0,Aug,3,2,1,1,Returning_Visitor,1,22,685.7,0.9545454545020661,0.7678284964258891,31.168181816765085,0.04761904761678005,0.0,0.009090909,0.0,5.076423034634259,0.0,6.268148865350222,6.531897515626631,3.1354942159291497,0
